"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 12:03:45 IST 2024","Tue Sep 24 12:03:45 IST 2024","47","","Validate the User Cart","","","","should check if total price exists",""
"passed","Tue Sep 24 12:03:45 IST 2024","Tue Sep 24 12:03:45 IST 2024","41","","Validate the User Cart","","","","should check if product name exists",""
"passed","Tue Sep 24 12:03:45 IST 2024","Tue Sep 24 12:03:45 IST 2024","52","","Validate the User Cart","","","","should check if cart view exists",""
"passed","Tue Sep 24 12:03:18 IST 2024","Tue Sep 24 12:03:28 IST 2024","10300","","Validate the User Cart","","","","should click and verify the Addtocart.",""
"passed","Tue Sep 24 12:03:45 IST 2024","Tue Sep 24 12:03:45 IST 2024","41","","Validate the User Cart","","","","should check if checkout button exists",""
"passed","Tue Sep 24 12:03:18 IST 2024","Tue Sep 24 12:03:18 IST 2024","145","","Validate the User Cart","","","","should verify the product model name.",""
"passed","Tue Sep 24 12:01:21 IST 2024","Tue Sep 24 12:02:19 IST 2024","57862","","Validate the User Cart","","","","Verify user can log in with valid email and password.",""
"passed","Tue Sep 24 12:03:28 IST 2024","Tue Sep 24 12:03:45 IST 2024","16942","","Validate the User Cart","","","","Verify the user Cart.",""
"broken","Tue Sep 24 12:04:00 IST 2024","Tue Sep 24 12:04:00 IST 2024","49","","Validate the User Cart","","","","verify the Cod radio",""
"broken","Tue Sep 24 12:03:50 IST 2024","Tue Sep 24 12:04:00 IST 2024","10133","","Validate the User Cart","","","","verify the payment details.",""
"passed","Tue Sep 24 12:03:45 IST 2024","Tue Sep 24 12:03:45 IST 2024","41","","Validate the User Cart","","","","should check if product price exists",""
"broken","Tue Sep 24 12:03:45 IST 2024","Tue Sep 24 12:04:00 IST 2024","15187","","Validate the User Cart","","","","verify the product checkout.",""
"broken","Tue Sep 24 12:04:00 IST 2024","Tue Sep 24 12:04:00 IST 2024","18","","Validate the User Cart","","","","verify final checkout",""
"broken","Tue Sep 24 12:03:55 IST 2024","Tue Sep 24 12:04:00 IST 2024","5085","","Validate the User Cart","","","","verify the country selecting",""
"passed","Tue Sep 24 12:02:19 IST 2024","Tue Sep 24 12:04:00 IST 2024","101061","","Validate the User Cart","","","","Verify the user can view the product successfully.",""
"passed","Tue Sep 24 12:03:45 IST 2024","Tue Sep 24 12:03:45 IST 2024","48","","Validate the User Cart","","","","should check if cart image exists",""
